,City,Cloudiness,Humidity,Latitude,Max Temp,Wind Speed
0,huty,57,78,50.13,59.83,5.03
1,kahului,40,58,20.89,87.8,26.4
2,kaitangata,98,74,-46.28,44.01,2.21
3,naliya,96,80,23.27,84.06,17.05
4,honiara,75,58,-9.43,87.8,6.93
5,albany,59,65,42.6,86.0,1.01
6,cape town,40,100,-33.93,57.99,9.17
7,matay,13,55,28.42,77.11,15.9
8,jamestown,90,100,42.1,73.0,13.87
9,sitka,90,93,57.05,57.2,6.93
10,anajatuba,41,76,-3.26,75.79,3.29
11,wenling,95,60,28.37,84.0,13.13
12,cherskiy,0,40,68.75,72.34,4.81
13,yellowknife,40,49,62.46,73.99,8.05
14,tuktoyaktuk,40,75,69.45,46.4,4.7
15,flinders,0,50,-34.58,57.99,8.99
16,hobart,40,70,-42.88,48.2,16.11
17,lagoa,27,79,39.05,68.99,5.23
18,qaanaaq,98,69,77.48,47.7,2.28
19,chaozhou,20,70,23.67,87.8,2.24
20,punta arenas,63,74,-53.15,33.8,8.05
21,avarua,81,78,-21.21,77.0,18.34
22,san quintin,0,53,30.48,77.47,19.28
23,port alfred,0,62,-33.59,60.26,6.55
24,moron,83,88,-34.65,64.99,1.12
25,kruisfontein,0,39,-34.0,53.24,6.08
26,aras,21,64,42.56,73.4,3.36
27,bluff,75,83,-46.6,39.0,3.0
28,bethel,1,58,41.37,82.99,11.41
29,marawi,89,82,8.0,80.01,1.01
30,labuhan,12,83,-6.88,76.78,8.97
31,rikitea,45,62,-23.12,68.68,11.03
32,powell river,20,57,49.85,77.0,12.75
33,hirado,75,74,33.36,88.0,12.75
34,yaan,81,99,7.38,71.28,5.17
35,castro,18,91,-24.79,57.25,3.8
36,talnakh,87,76,69.49,50.0,15.66
37,sorland,73,85,67.67,55.08,13.27
38,mokhsogollokh,69,71,61.47,78.13,5.86
39,santa rosalia,4,48,27.32,90.19,6.51
40,mataura,92,83,-46.19,39.0,3.0
41,ushuaia,20,92,-54.8,26.6,6.93
42,lorengau,80,68,-2.02,84.61,10.33
43,ashti,100,80,19.38,78.78,9.4
44,victoria,100,74,22.29,86.0,3.0
45,kodiak,90,82,57.79,59.0,17.22
46,lata,0,95,40.16,66.0,2.44
47,lasa,20,82,46.62,59.0,3.36
48,magdalena,93,74,14.2,82.99,6.93
49,port lincoln,49,62,-34.73,54.91,6.31
50,bowen,90,73,-20.02,73.99,4.7
51,san cristobal,20,43,7.77,91.4,11.41
52,saint anthony,1,42,45.02,80.6,12.75
53,mao,0,88,39.89,69.8,5.3
54,spirit river,20,53,55.78,71.6,12.75
55,santa cruz,1,69,-17.8,77.0,11.41
56,saskylakh,31,62,71.92,59.5,10.65
57,adrar,29,22,20.5,94.64,5.73
58,candolim,75,100,15.52,77.0,2.24
59,east london,0,52,-33.02,59.54,6.15
60,hermanus,3,95,-34.42,53.01,1.99
61,saint george,1,7,37.1,106.0,19.46
62,bintulu,40,94,3.17,77.0,5.82
63,georgetown,20,94,5.41,78.8,2.24
64,bambous virieux,40,88,-20.34,66.99,5.82
65,aksu,99,46,41.12,72.7,0.87
66,lebu,4,89,-37.62,51.35,12.75
67,port hedland,4,59,-20.32,62.6,16.11
68,weston,1,74,26.1,87.01,11.41
69,asekeyevo,15,94,53.57,59.27,5.95
70,the valley,20,74,18.22,84.2,11.41
71,hilo,90,74,19.73,80.6,10.29
72,hithadhoo,100,78,-0.6,83.5,16.17
73,kapaa,75,70,22.08,84.2,18.34
74,tirumullaivasal,95,80,11.23,81.66,6.06
75,morden,1,56,49.19,73.4,9.17
76,pisco,52,77,-13.7,62.6,12.75
77,busselton,36,78,-33.65,48.99,7.72
78,norman wells,75,68,65.28,64.4,8.05
79,examilia,0,58,37.9,75.0,1.01
80,shache,0,61,38.42,65.62,2.17
81,ribeira grande,72,76,38.52,69.19,3.53
82,kichera,100,57,55.94,57.07,3.85
83,mahebourg,40,77,-20.41,68.0,11.41
84,kingman,1,11,35.19,107.01,16.11
85,dikson,100,95,73.51,41.09,10.96
86,severo-kurilsk,100,87,50.68,51.93,12.35
87,varhaug,7,97,58.61,51.01,9.73
88,dohar,90,88,23.59,78.8,4.7
89,arraial do cabo,0,85,-22.97,70.95,22.59
90,karratha,1,65,-20.74,63.03,16.2
91,dunmore east,1,84,52.15,54.0,1.01
92,ilulissat,85,46,69.22,53.6,2.24
93,port hawkesbury,90,73,45.62,73.4,6.93
94,carnarvon,0,87,-24.87,48.2,9.17
95,kourou,74,88,5.16,78.8,6.85
96,shingu,75,94,33.73,78.8,2.24
97,belmonte,75,94,-15.86,69.8,4.7
98,barrow,90,80,71.29,39.2,13.87
99,pavlodar,0,72,52.3,60.8,8.95
100,lahat,31,90,-3.8,72.88,1.9
101,griffith,1,57,41.53,82.99,5.82
102,ofaqim,0,68,31.31,66.99,2.75
103,aksarka,28,79,66.56,48.52,7.78
104,torbay,39,61,47.67,64.99,1.99
105,new norfolk,69,82,-42.78,46.99,1.99
106,kavaratti,100,79,10.57,81.32,13.78
107,airai,17,52,-8.93,63.59,3.02
108,vaini,90,88,-21.2,71.6,8.05
109,canyon lake,54,55,29.88,95.0,7.0
110,flin flon,20,38,54.77,73.4,4.7
111,xining,97,52,36.62,57.25,2.39
112,thinadhoo,100,75,0.53,83.93,18.9
113,tasiilaq,0,87,65.61,46.4,6.93
114,saint-philippe,40,77,-21.36,62.6,11.41
115,pevek,0,58,69.7,47.25,5.28
116,kilindoni,0,72,-7.91,76.53,22.03
117,sabang,73,75,5.89,82.98,6.82
118,riyadh,7,26,24.69,91.4,4.7
119,eggenfelden,100,94,48.41,62.01,3.98
120,bengkulu,40,90,-3.8,75.76,4.85
121,pandharpur,100,86,17.67,76.71,6.53
122,san policarpo,77,72,12.18,84.52,3.51
123,buala,54,71,-8.14,83.86,5.26
124,butaritari,63,76,3.07,83.73,15.68
125,nikolskoye,16,82,59.7,60.8,4.47
126,novi ligure,20,78,44.76,73.4,3.36
127,zhigansk,100,62,66.77,63.54,6.11
128,marsa matruh,20,73,31.35,75.2,7.76
129,walcz,100,81,53.28,63.0,4.94
130,hobyo,86,73,5.35,76.96,22.39
131,kuminskiy,69,84,58.67,64.76,10.67
132,killybegs,16,95,54.63,42.01,1.01
133,elk city,1,32,35.41,95.0,17.22
134,tucuma,31,86,-0.18,76.84,9.06
135,mount isa,52,14,-20.73,68.0,6.93
136,ibra,79,76,22.69,82.04,5.77
137,portland,20,35,45.52,91.0,14.99
138,wangkui,100,95,46.83,66.24,4.05
139,ojinaga,40,23,29.57,98.6,13.87
140,ambilobe,15,71,-13.2,65.39,5.28
141,alamos,87,54,27.02,93.0,5.01
142,upernavik,59,54,72.79,49.03,7.65
143,khatanga,98,77,71.97,51.78,2.68
144,bethanien,0,33,-26.5,55.02,8.77
145,bredasdorp,6,93,-34.53,55.4,3.36
146,alekseyevsk,57,60,57.84,57.36,2.57
147,nanortalik,2,74,60.14,48.34,6.44
148,agirish,0,81,61.92,50.72,8.66
149,tura,100,99,25.52,73.81,7.56
150,iracoubo,99,81,5.48,79.05,9.62
151,mildura,90,71,-34.2,50.0,6.93
152,chama,59,72,47.18,63.0,3.56
153,pafos,0,78,34.77,71.6,3.36
154,ossora,97,90,59.24,52.7,17.09
155,ekhabi,96,86,53.51,55.96,12.06
156,naze,40,84,28.37,86.0,12.75
157,la ronge,75,72,55.1,66.2,6.93
158,iwata,100,82,34.7,86.0,1.99
159,miri,20,88,4.41,80.6,5.82
160,balkanabat,0,22,39.51,88.3,4.45
161,bubaque,100,83,11.28,80.02,16.98
162,yulara,90,87,-25.24,51.8,6.93
163,college,75,49,64.86,73.4,3.36
164,olafsvik,31,79,64.89,48.2,8.05
165,talcahuano,75,93,-36.72,55.4,10.29
166,mehamn,100,84,71.04,52.16,5.1
167,egvekinot,0,54,66.32,49.89,5.35
168,puerto ayora,92,91,-0.74,70.0,4.0
169,cabedelo,75,100,-6.98,73.4,10.29
170,obidos,26,62,-1.92,79.54,3.69
171,kendari,21,83,-3.94,78.15,1.88
172,boden,96,93,65.83,60.8,8.05
173,maputo,1,100,-25.97,55.4,3.36
174,lavrentiya,72,76,65.58,46.74,7.0
175,vila velha,25,94,-20.33,69.01,2.24
176,horizontina,0,85,-27.63,65.84,5.97
177,cabo san lucas,20,38,22.89,96.01,18.34
178,nunoa,97,47,-14.48,45.43,4.16
179,maceio,75,100,-9.67,71.6,6.93
180,kjopsvik,94,93,68.1,51.01,2.24
181,ravar,0,21,31.27,71.38,0.76
182,meulaboh,95,84,4.14,78.35,4.36
183,hamilton,1,88,39.18,77.0,10.78
184,koumac,13,63,-20.57,72.46,9.19
185,esperance,90,66,-33.87,53.6,4.7
186,pingshan,100,78,22.99,84.06,4.61
187,ejido,66,66,8.55,69.17,4.97
188,nizhniy kuranakh,100,79,58.84,70.32,3.49
189,cumbitara,66,100,1.65,61.27,3.15
190,veraval,99,82,20.9,83.41,14.56
191,half moon bay,90,82,37.46,75.99,5.82
192,port elizabeth,0,87,-33.92,48.2,3.36
193,rafaela,47,71,-31.25,67.08,4.7
194,belfast,1,76,54.58,53.6,5.82
195,khartoum,93,61,15.55,80.6,13.87
196,akdepe,0,43,42.06,80.6,6.93
197,mayo,1,70,38.89,88.0,10.29
198,alice springs,55,47,-23.7,57.2,5.82
199,grindavik,75,87,63.84,48.2,3.36
200,lodingen,75,93,68.41,51.01,2.24
201,qandala,49,53,11.47,86.09,10.96
202,fairbanks,1,46,64.84,73.99,2.77
203,chuy,96,84,-33.7,66.38,7.34
204,alexandria,0,78,31.22,77.0,11.41
205,port hardy,20,63,50.7,66.2,21.92
206,carupano,2,84,10.67,79.74,11.81
207,atuona,24,74,-9.8,79.54,14.52
208,atar,77,30,20.52,94.71,15.79
209,ponta do sol,20,64,32.67,71.6,10.29
210,eureka,40,72,40.8,62.01,6.93
211,cidreira,56,80,-30.18,66.18,8.77
212,zabol,0,27,32.25,64.47,2.35
213,yumen,76,16,40.28,80.47,4.61
214,mata,0,82,40.68,66.0,1.21
215,saint-joseph,40,77,-21.37,62.6,11.41
216,havre-saint-pierre,1,73,50.23,69.8,5.82
217,bay roberts,35,50,47.6,64.0,9.33
218,turochak,63,84,52.26,59.63,2.62
219,kastamonu,0,77,41.5,63.75,1.07
220,hays,65,45,30.05,96.01,5.99
221,dingle,54,79,11.0,81.93,3.91
222,bijie,83,85,27.31,66.69,1.19
223,darien,1,65,41.75,82.99,8.05
224,hohhot,0,64,40.81,68.0,4.47
225,saldanha,0,87,-33.01,48.2,5.82
226,fortuna,20,77,40.6,62.6,12.75
227,sandy bay,40,69,-42.91,48.2,16.11
228,stebnyk,82,93,49.29,57.2,2.24
229,bluefields,75,79,12.01,84.2,9.17
230,samarai,100,86,-10.62,76.19,14.85
231,vysokogornyy,99,83,50.12,68.99,4.25
232,ituiutaba,0,51,-18.97,67.01,7.25
233,cheremukhovo,53,82,60.35,57.88,9.57
234,labuan,20,88,5.28,82.4,3.36
235,emerald,1,42,-23.53,69.01,5.82
236,caravelas,94,85,-17.71,71.64,7.63
237,laguna,1,33,38.42,88.0,12.75
238,ugoofaaru,100,80,5.67,80.35,24.99
239,ponta delgada,40,64,37.73,69.8,10.29
240,zaton,90,55,53.29,66.2,4.47
241,carlisle,72,59,40.2,91.0,5.7
242,harindanga,75,89,22.04,84.2,8.05
243,wamba,40,93,8.93,70.84,3.49
244,kamenka,0,89,51.32,57.99,3.74
245,souillac,40,77,-20.52,68.0,11.41
246,verkh-usugli,100,81,52.7,51.96,8.1
247,sept-iles,75,64,50.2,71.6,5.82
248,araouane,29,27,18.9,96.35,0.78
249,mirnyy,40,100,62.54,53.6,8.95
250,altay,31,45,47.87,72.77,2.1
251,san carlos de bariloche,40,93,-41.15,37.4,3.36
252,bathsheba,20,69,13.22,82.4,13.87
253,diego de almagro,64,77,-26.37,47.28,0.43
254,myitkyina,100,96,25.38,74.19,1.1
255,port blair,99,78,11.67,80.71,2.59
256,lompoc,5,64,34.64,68.0,18.34
257,barsovo,40,100,61.17,59.0,11.18
258,broome,1,83,42.25,75.0,9.17
259,shenjiamen,99,93,29.96,78.1,4.99
260,severnyy,73,72,50.68,60.8,4.47
261,ipixuna,75,78,-1.76,82.4,11.41
262,tiarei,75,61,-17.53,82.4,5.82
263,torres,39,85,-29.34,65.82,5.08
264,antalaha,7,82,-14.9,66.94,10.38
265,catuday,34,76,16.29,82.29,8.95
266,chokurdakh,73,43,70.63,73.89,18.01
267,conceicao do araguaia,28,54,-8.26,80.6,3.36
268,kanniyakumari,29,84,8.08,79.36,13.35
269,te anau,100,90,-45.42,44.4,1.1
270,bichena,33,96,10.45,51.24,5.44
271,komsomolskiy,16,46,40.43,71.6,4.23
272,bell ville,87,92,-32.63,59.83,4.97
273,rincon,20,62,32.3,87.8,11.41
274,buraydah,6,23,26.33,95.0,10.29
275,sola,75,78,-13.88,82.4,6.93
276,narsaq,33,50,60.92,53.6,6.93
277,tepalcingo,90,30,18.6,87.01,5.82
278,proletariy,96,84,58.43,61.12,3.91
279,shujaabad,40,63,29.88,91.4,16.11
280,harlingen,1,55,26.19,89.6,14.99
281,vung tau,100,71,10.35,83.25,1.9
282,hirara,40,74,24.8,87.8,10.29
283,morwell,87,78,-38.23,51.01,10.0
284,orissaare,63,88,58.56,64.99,4.7
285,sinnamary,87,82,5.38,78.91,9.15
286,log,0,70,49.48,63.55,6.04
287,waterloo,20,88,43.47,73.99,13.87
288,tucupita,89,95,9.06,76.21,4.68
289,henties bay,0,23,-22.12,72.0,11.34
290,deputatskiy,100,62,69.3,61.48,2.93
291,ureki,40,88,42.0,75.2,8.05
292,mugur-aksy,10,59,50.35,58.84,2.64
293,san pedro,97,74,14.35,84.99,6.93
294,champa,100,73,22.05,83.39,3.0
295,espanola,1,24,35.99,88.0,6.93
296,kargopol,0,84,61.51,51.78,2.28
297,mahon,0,88,39.89,69.8,5.3
298,opuwo,0,43,-18.06,52.61,9.51
299,iqaluit,90,100,63.75,42.01,8.05
300,kavieng,25,72,-2.57,84.16,11.1
301,yuanping,0,49,38.72,70.41,1.54
302,paamiut,94,79,61.99,47.46,2.75
303,biskamzha,0,67,53.45,58.82,1.36
304,palana,4,73,59.12,54.5,14.58
305,gisborne,99,73,-38.65,61.0,3.0
306,rio claro,0,63,-22.41,64.4,4.7
307,petropavlovsk-kamchatskiy,40,59,53.05,66.2,4.47
308,brae,5,87,60.4,51.8,6.93
309,moerai,93,66,-22.43,69.75,15.12
310,taloqan,0,23,36.74,78.53,3.4
311,ken caryl,92,24,39.58,84.99,1.99
312,mineiros,0,49,-17.57,67.14,4.18
313,salalah,90,94,17.02,78.8,2.24
314,gorontalo,50,78,0.54,81.01,4.59
315,mazagao,16,94,-0.12,80.6,1.12
316,taoudenni,39,15,22.68,101.7,8.59
317,tashla,0,87,51.77,62.29,6.98
318,dasoguz,8,43,41.84,73.4,6.93
319,aklavik,75,62,68.22,51.8,2.24
320,bressanone,28,87,46.72,52.0,2.19
321,orthez,0,82,43.49,71.6,5.82
322,colares,13,84,38.8,68.0,7.2
323,saint-augustin,50,69,51.23,67.06,9.08
324,provideniya,75,66,64.38,53.6,13.42
325,kodinsk,87,60,58.69,55.65,2.48
326,bulgan,34,81,48.81,52.56,2.48
327,kafue,0,80,-15.77,52.66,6.58
328,belaya gora,54,37,68.53,76.75,16.44
329,hun,0,57,29.13,76.89,5.46
330,tabuk,11,75,17.42,80.38,4.7
331,zalantun,17,43,48.0,71.35,8.63
332,rawson,100,81,-43.3,45.84,11.27
333,korla,100,88,41.76,75.99,1.01
334,kokopo,0,66,-4.35,84.15,10.67
335,mar del plata,90,87,-38.0,53.6,13.87
336,joensuu,55,100,62.6,57.2,2.24
337,karanja,100,85,20.48,78.53,12.06
338,voyvozh,13,82,62.89,54.37,8.37
339,yar-sale,0,77,66.83,50.92,8.81
340,chuka,99,80,-0.33,59.77,4.63
341,baker city,1,19,44.77,91.4,12.75
342,kosh-agach,29,59,50.0,61.77,1.81
343,miyako,88,81,39.64,71.91,3.65
344,alad,94,73,12.62,82.65,4.32
345,gubkinskiy,99,85,64.43,52.88,20.36
346,tsogni,78,84,-2.79,71.58,4.56
347,nedjo,98,97,9.5,55.9,1.5
348,noumea,75,60,-22.28,73.4,5.82
349,tocopilla,92,66,-22.09,60.12,8.32
350,raja sansi,75,88,31.72,77.0,2.24
351,harboore,71,72,56.62,55.0,13.91
352,port augusta,90,76,-32.5,53.6,8.05
353,hauterive,9,59,46.09,66.0,2.86
354,tonekabon,40,83,36.82,78.8,2.24
355,chiang khong,99,99,20.26,70.0,0.51
356,loandjili,40,94,-4.76,73.4,4.7
357,the pas,1,40,53.83,73.4,5.82
358,mareeba,18,64,-17.0,71.6,8.05
359,kimberley,0,26,-28.73,42.8,3.36
360,faanui,67,83,-16.48,77.2,20.36
361,quatre cocos,40,77,-20.21,68.0,11.41
362,ulaanbaatar,20,62,47.91,51.8,4.47
363,pangnirtung,100,57,66.15,56.98,2.13
364,kedrovyy,25,87,56.17,53.6,2.24
365,peniche,2,87,39.36,64.0,3.78
366,grand gaube,47,74,-20.01,66.99,8.99
367,sorong,79,84,-0.88,79.81,6.51
368,povazska bystrica,90,93,49.12,60.8,1.12
369,miraflores,90,52,19.22,66.2,12.75
370,kenai,90,82,60.55,62.6,13.87
371,tuni,100,88,17.35,80.56,3.65
372,bozeman,1,21,45.68,82.4,9.17
373,tefe,56,83,-3.35,77.67,1.28
374,thompson,75,44,55.74,75.2,4.7
375,ewa beach,90,58,21.32,87.8,9.17
376,santa isabel do rio negro,21,89,-0.41,75.74,2.71
377,cockburn town,31,74,21.46,83.53,21.61
378,klaksvik,98,87,62.23,50.0,10.29
379,chhapar,29,57,27.82,90.03,18.57
380,lagos,20,94,6.58,77.0,2.24
381,teya,100,80,60.38,55.76,2.08
382,melilla,0,78,35.29,77.0,3.36
383,khandyga,7,61,62.67,81.81,3.13
384,liverpool,18,76,53.41,55.99,4.7
385,amga,38,60,60.9,80.92,3.89
386,kieta,0,64,-6.22,85.32,5.61
387,taylor,1,28,32.3,95.0,14.99
388,toora-khem,0,57,52.47,56.57,1.23
389,muros,1,81,42.78,66.99,7.0
390,asau,100,98,46.43,60.01,2.71
391,amahai,49,82,-3.33,79.45,2.73
392,san patricio,75,79,19.22,84.2,11.41
393,clyde river,75,70,70.47,46.4,5.82
394,mount gambier,75,87,-37.83,51.8,8.05
395,hami,79,17,42.8,87.3,8.1
396,ostrovnoy,0,72,68.05,61.38,14.0
397,viljoenskroon,0,41,-27.21,46.24,4.94
398,timizart,0,72,36.8,67.87,5.17
399,macheng,15,86,31.18,77.0,0.43
400,urumqi,94,42,43.8,80.6,4.47
401,sao filipe,82,83,14.9,77.09,7.9
402,hasaki,75,88,35.73,78.01,8.05
403,kaka,0,16,37.35,86.04,8.01
404,guerrero negro,4,68,27.98,75.49,18.32
405,goulburn,0,67,-34.75,46.99,16.96
406,bandarbeyla,76,63,9.49,79.54,23.0
407,cururupu,59,90,-1.83,74.57,3.11
408,tateyama,75,94,34.98,77.0,3.36
409,tazmalt,20,83,36.39,71.6,5.82
410,sinop,0,48,41.77,73.36,7.96
411,itarema,39,80,-2.92,76.51,11.45
412,zheshart,0,89,62.07,51.51,5.99
413,sirjan,0,21,29.45,71.31,8.79
414,byron bay,0,37,-28.65,68.0,8.05
415,luau,0,51,-10.71,53.26,4.85
416,springfield,75,55,37.22,90.0,8.05
417,kizner,97,96,56.27,61.74,6.49
418,bouar,100,99,5.93,65.03,1.74
419,northam,0,90,51.03,57.99,1.01
420,cannock,17,68,52.69,51.01,3.0
421,tilichiki,100,83,60.47,55.27,7.81
422,new glasgow,48,81,45.58,73.99,3.0
423,onguday,24,80,50.75,63.1,1.81
424,bhag,0,44,29.04,98.62,6.35
425,vikhorevka,4,76,56.12,53.6,4.47
426,shahgarh,100,72,24.32,83.14,10.25
427,vanimo,26,68,-2.67,83.46,6.64
428,berlevag,100,87,70.86,52.23,7.54
429,siddipet,100,85,18.1,75.96,4.79
430,razole,100,87,16.48,81.57,6.44
431,arica,43,82,-18.48,59.0,2.24
432,mendoza,1,54,-32.89,55.4,4.7
433,shelburne,90,78,44.08,77.0,8.05
434,praia da vitoria,75,73,38.73,69.8,5.99
435,katsuura,75,94,35.13,82.0,3.36
436,sibu,40,94,2.3,77.0,3.36
437,nome,75,76,64.5,55.0,6.93
438,isangel,40,61,-19.55,77.0,10.29
439,podyuga,0,72,61.09,52.18,3.62
440,kurumkan,97,60,54.3,56.79,3.49
441,puerto palomas,40,37,31.77,82.4,16.11
442,udachnyy,90,100,66.42,53.6,8.95
443,kasamwa,68,53,-2.85,62.64,5.53
444,pingliang,0,47,35.54,68.32,4.41
445,matara,91,87,5.95,77.95,7.52
446,tieling,96,88,42.29,70.07,8.19
447,ilo,79,79,-17.64,58.53,5.39
448,ferme-neuve,100,84,46.7,75.92,9.42
449,san juan de los morros,83,91,9.91,71.74,1.12
450,felipe carrillo puerto,78,86,19.58,80.78,3.42
451,kibaya,1,84,-5.3,53.19,7.49
452,parintins,41,64,-2.63,78.39,3.18
453,ust-nera,100,62,64.57,61.57,4.56
454,touros,40,100,-5.2,73.4,2.24
455,hovd,16,55,48.01,66.87,0.96
456,comodoro rivadavia,90,87,-45.87,42.8,10.29
457,santa maria,64,70,-29.68,71.22,9.98
458,tiksi,14,54,71.69,63.1,10.04
459,dongsheng,0,30,39.82,73.06,14.38
460,sao joao da barra,0,88,-21.64,70.5,11.07
461,blagoyevo,0,87,63.37,51.33,3.87
462,ulladulla,0,43,-35.35,55.4,17.22
463,burntwood,18,68,52.68,51.01,3.0
464,mityana,39,70,0.42,59.77,1.72
465,stonewall,40,64,50.13,73.0,11.41
466,port macquarie,4,65,-31.43,61.0,1.99
467,nishihara,40,79,26.18,86.0,9.17
468,acapulco,75,79,16.86,86.0,8.05
469,churapcha,58,62,62.0,78.57,7.47
470,muli,100,78,2.92,82.26,20.78
471,atikokan,100,84,48.76,53.71,11.72
472,sisimiut,82,73,66.94,52.39,5.01
473,santa cruz del sur,100,79,20.71,81.88,9.08
474,oyama,75,83,36.3,88.0,8.05
475,haines junction,100,45,60.75,65.59,11.74
476,almaznyy,20,56,48.04,69.8,11.18
477,usinsk,0,85,65.99,51.01,8.05
478,malabo,75,100,3.75,75.2,3.36
479,deer lake,20,77,49.17,64.4,5.82
480,hurricane,10,9,37.18,106.0,1.01
481,kabwe,0,90,-14.45,49.84,7.05
482,sumbe,0,64,-11.21,70.05,8.93
483,robertsport,100,88,6.75,76.78,11.92
484,ampere,12,82,-25.91,64.17,4.79
485,waipawa,88,62,-41.41,59.0,4.7
486,somerset west,40,100,-34.08,55.4,9.17
487,ranong,40,94,9.97,78.8,2.75
488,whitley bay,24,76,55.04,53.01,8.05
489,radinac,40,77,44.63,64.4,2.24
490,bardiyah,0,87,31.76,72.73,11.21
491,uyemskiy,0,100,64.47,50.0,4.47
492,brenham,40,49,30.17,93.2,9.17
493,omsukchan,4,50,62.53,63.79,5.01
494,cholet,23,68,47.17,66.2,5.82
495,ust-maya,6,59,60.42,79.84,8.93
496,santa catarina de tepehuanes,97,35,25.35,79.12,10.42
497,asyut,1,47,27.18,78.8,8.05
498,pierre,40,57,44.37,79.0,6.93
499,tbilisi,0,69,41.69,75.2,3.13
500,qasigiannguit,80,46,68.82,53.6,2.24
501,bodden town,75,88,19.28,82.0,11.41
502,borgosesia,40,88,45.71,69.01,4.72
503,mnogovershinnyy,53,76,53.94,66.34,5.59
504,mersing,20,94,2.43,77.0,5.82
505,arya,75,69,33.6,78.8,8.05
506,pimentel,18,87,-6.84,61.12,13.56
507,jian,96,86,27.12,81.03,1.7
508,redmond,32,53,47.67,82.99,1.01
509,williston,34,50,48.15,75.99,3.0
510,panama city,40,88,8.99,82.4,4.7
511,adiake,20,100,5.29,75.2,4.7
512,alekseyevskoye,75,93,55.31,59.0,4.47
513,daru,98,88,-9.08,76.77,17.76
514,augusto correa,42,92,-1.02,74.03,3.49
515,hofn,59,62,64.25,54.34,5.26
516,anadyr,20,66,64.75,53.6,8.95
517,longyearbyen,75,87,78.22,44.6,11.41
518,rushden,21,74,52.29,55.0,3.0
519,simbahan,98,74,6.3,83.26,6.82
520,pastavy,45,87,55.12,55.98,0.96
521,palmer,75,55,42.16,87.8,10.29
522,richards bay,0,84,-28.78,57.63,5.06
523,vokhma,99,92,58.93,59.04,7.07
524,beloha,0,81,-25.17,60.42,10.0
525,olinda,75,83,-8.01,77.0,12.75
526,nioro,73,82,13.35,77.83,8.46
527,ketchikan,90,82,55.34,60.8,9.17
528,mtwango,0,67,-9.02,49.51,11.9
529,berbera,15,46,10.44,87.08,23.06
530,sainte-julienne,85,80,45.97,86.0,4.0
531,moose factory,90,88,51.26,64.4,9.17
532,luwuk,60,74,-0.95,80.42,7.25
533,baruun-urt,30,53,46.68,55.24,14.99
534,staryy krym,0,76,45.03,67.46,4.34
535,tuatapere,96,83,-46.13,39.0,3.0
536,tessalit,8,32,20.2,87.66,8.84
537,mackenzie,40,46,55.3,71.6,2.24
538,makakilo city,90,58,21.35,87.8,9.17
539,perpignan,0,68,42.75,68.0,2.24
540,ostashkov,98,90,57.15,55.18,0.47
541,hambantota,88,82,6.12,79.14,5.93
542,isiolo,75,68,0.35,64.11,11.27
543,paragominas,40,72,-2.97,75.15,3.76
544,padang,20,100,-0.95,73.4,2.24
545,tazovskiy,36,78,67.47,49.44,13.42
546,leningradskiy,49,69,69.38,42.08,8.05
547,faya,75,31,18.39,73.4,28.86
548,seguela,77,85,7.96,72.41,6.42
549,lamu,37,74,-2.27,75.74,16.53
550,itoman,40,79,26.12,86.0,9.17
551,gravelbourg,61,43,49.88,73.49,6.69
552,zeya,100,90,53.75,69.06,6.78
553,buzmeyin,75,24,38.05,89.6,9.17
554,taltal,66,73,-25.4,57.47,3.0
555,shimoda,75,83,34.67,80.01,8.05
556,clinton,90,94,42.59,79.0,13.87
557,saravan,40,39,39.72,82.4,4.7
558,zaysan,98,45,47.47,74.16,5.37
559,geraldton,0,81,-28.77,50.0,12.75
560,dzerzhinskoye,56,72,56.83,57.85,2.57
561,vanavara,10,78,60.34,53.2,2.24
562,gornopravdinsk,0,81,60.05,56.37,7.92
563,constitucion,66,87,-35.33,52.83,7.9
564,badarganj,99,94,25.67,79.12,4.45
565,cayenne,88,83,4.93,80.6,3.36
566,raymond terrace,3,51,-32.75,61.0,17.22
567,djambala,69,50,-2.54,75.25,2.68
568,urucui,30,36,-7.23,79.07,7.47
569,mantua,6,71,45.17,70.0,5.01
570,batagay-alyta,94,68,67.8,64.9,3.51
571,severodvinsk,0,100,64.56,50.0,4.47
572,salinopolis,41,84,-0.61,78.49,12.41
573,naudero,76,66,27.66,87.8,11.41
